artists,album_name,duration_ms,danceability_x,energy_x,mode_x,acousticness_x,valence_x,tempo_x,time_signature,track_genre,album_id,duration,Album Rating,rating
AJJ,Christmas Island,180771,0.448,0.516,1,0.341,0.29,100.672,4,acoustic,6U05Hnv3V8sm93lErI9rNA,180771.0,28.7,5.0
AJJ,The Bible 2,163385,0.336,0.761,1,0.000546,0.501,127.065,4,acoustic,0umKI9UKmubVWFCDNxlpH2,163385.0,27.0,5.0
The Budos Band,The Budos Band III,158760,0.571,0.877,1,0.344,0.814,120.907,4,afrobeat,4wGhy77LCdzpd7bdUiwQFN,158760.0,21.7,5.0
The Budos Band,The Budos Band III,158760,0.571,0.877,1,0.344,0.814,120.907,4,afrobeat,4wGhy77LCdzpd7bdUiwQFN,158760.0,21.7,5.0
The Souljazz Orchestra,Rising Sun,301986,0.683,0.923,0,0.204,0.892,120.004,4,afrobeat,3PN2MpnnwCXrPbFVxd4PM8,301986.0,16.0,8.0
The Souljazz Orchestra,Rising Sun,301986,0.683,0.923,0,0.204,0.892,120.004,4,afrobeat,3PN2MpnnwCXrPbFVxd4PM8,301986.0,16.0,8.0
MGMT,Little Dark Age,299960,0.705,0.712,1,0.0102,0.62,97.512,4,alt-rock,7GjVWG39IOj4viyWplJV4H,299960.0,83.0,8.0
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,206280,0.575,0.568,0,0.0484,0.37,93.986,4,alt-rock,0ODLCdHBFVvKwJGeSfd1jy,206280.0,75.1,4.0
The Strokes,The New Abnormal,309053,0.593,0.749,1,0.0113,0.649,164.959,4,alt-rock,2xkZV2Hl1Omi8rk2D7t5lN,309053.0,66.0,8.0
The 1975,A Brief Inquiry Into Online Relationships,248335,0.618,0.837,1,0.000254,0.526,121.227,4,alt-rock,6PWXKiakqhI17mTYM4y6oY,248335.0,68.3,6.0
Red Hot Chili Peppers,The Getaway,302000,0.7,0.742,0,0.0722,0.197,91.959,4,alt-rock,43otFXrY0bgaq5fB3GrZj6,302000.0,74.0,5.0
The Strokes,Comedown Machine,204773,0.544,0.241,0,0.983,0.359,109.437,4,alt-rock,4WnkQO4xD9ljQooB3VIxCV,204773.0,60.2,5.0
Dominic Fike,What Could Possibly Go Wrong,139906,0.684,0.856,1,0.342,0.343,117.027,4,alt-rock,1BubKJqf6Uc4fNae5kLJJ7,139906.0,67.5,4.0
Phosphorescent,Muchacho,370200,0.486,0.623,1,0.734,0.525,86.007,4,alt-rock,6rAJ4I8SpPMJj0guCZiAI8,370200.0,62.0,6.0
Bea Miller,Arcane League of Legends (Soundtrack from the Animated Series),230525,0.514,0.704,1,0.0107,0.361,157.4,4,alt-rock,3MdiH74FL8mhlbnR6DcqJd,230525.0,61.0,5.0
Crystal Castles,(III),184760,0.522,0.914,1,0.000164,0.0364,137.939,3,alternative,1NIfkZIYVAO6vnfmFOilHc,184760.0,71.5,4.0
