,Unnamed: 0_x,track_id,artists,album_name,track_name,popularity,duration_ms,explicit_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature,track_genre,Unnamed: 0_y,album_id,youtube_id,duration,explicit_y,preview,key_y,mode_y,acousticness_y,danceability_y,energy_y,instrumentalness_y,liveness_y,loudness_y,speechiness_y,valence_y,tempo_y,Album Rating
0,544,6fmrddhzAr0StNzWEzlny5,AJJ,Christmas Island,Linda Ronstadt,31,180771,False,0.448,0.516,0,-7.449,1,0.0292,0.341,0.00497,0.0929,0.29,100.672,4,acoustic,12373,6U05Hnv3V8sm93lErI9rNA,h64DvnMaCnU,180771.0,0.0,https://p.scdn.co/mp3-preview/ed24959a7ca29c9b7d6fcddbd9c2933d3a2ca850?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,0.341,0.448,0.516,0.00497,0.0929,-7.449,0.0292,0.29,100.672,28.7
1,742,3NigHcNkAIUpS1cNbiqNl8,AJJ,Christmas Island,Angel of Death,28,174709,False,0.645,0.626,7,-7.551,1,0.0364,0.259,0.00887,0.115,0.307,118.585,4,acoustic,12376,6U05Hnv3V8sm93lErI9rNA,h64DvnMaCnU,174709.0,0.0,https://p.scdn.co/mp3-preview/5a5ca11299abf60428abed1c29516916a57433df?cid=511f219d36aa49ae99789b1efd2c51c8,7.0,1.0,0.259,0.645,0.626,0.00887,0.115,-7.551,0.0364,0.307,118.585,28.7
2,843,1wMG2dMCgh1Bn6d0XkOnHo,AJJ,The Bible 2,White Worms,27,163385,False,0.336,0.761,9,-6.312,1,0.0399,0.000546,0.00284,0.113,0.501,127.065,4,acoustic,18727,0umKI9UKmubVWFCDNxlpH2,eLfbvBCavtM,163385.0,0.0,https://p.scdn.co/mp3-preview/351f38b3bd35530378e515146aad9c264859a6c2?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,0.000546,0.336,0.761,0.00284,0.113,-6.312,0.0399,0.501,127.065,27.0
3,938,25R9Ax7cdjWx0EDr2HAKoA,AJJ,Christmas Island,Deathlessness,27,220832,False,0.554,0.655,11,-8.074,1,0.0388,0.00193,0.56,0.28,0.363,100.423,4,acoustic,12374,6U05Hnv3V8sm93lErI9rNA,h64DvnMaCnU,220832.0,0.0,https://p.scdn.co/mp3-preview/fe8183aead4f914fb392a42fba41fe2302949e89?cid=511f219d36aa49ae99789b1efd2c51c8,11.0,1.0,0.00193,0.554,0.655,0.56,0.28,-8.074,0.0388,0.363,100.423,28.7
4,1435,6LqsZMJ4CS4bu13W5lUfC7,The Budos Band,The Budos Band III,Budos Dirge,22,158760,False,0.571,0.877,6,-9.563,1,0.0342,0.344,0.922,0.166,0.814,120.907,4,afrobeat,1302,4wGhy77LCdzpd7bdUiwQFN,JIOuOK7sUV8,158760.0,0.0,https://p.scdn.co/mp3-preview/fa71dfeff228fb66375153233a583a4556447e77?cid=511f219d36aa49ae99789b1efd2c51c8,6.0,1.0,0.344,0.571,0.877,0.922,0.166,-9.563,0.0342,0.814,120.907,21.7
5,1439,2KR6wfZkGkBVYrwKQkuAxR,The Budos Band,The Budos Band III,Reppirt Yad,22,177253,False,0.509,0.511,0,-11.24,1,0.0294,0.0238,0.913,0.0748,0.611,116.851,4,afrobeat,1306,4wGhy77LCdzpd7bdUiwQFN,JIOuOK7sUV8,177253.0,0.0,https://p.scdn.co/mp3-preview/447600b9944470db74f6f7e0ef93bc9e8f7bac1c?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,0.0238,0.509,0.511,0.913,0.0748,-11.24,0.0294,0.611,116.851,21.7
6,1493,6vCaE0f8dWkjgytfnTka9v,The Budos Band,The Budos Band III,Mark of the Unnamed,21,239693,False,0.622,0.797,7,-8.958,0,0.0312,0.117,0.909,0.16,0.795,114.822,4,afrobeat,1305,4wGhy77LCdzpd7bdUiwQFN,JIOuOK7sUV8,239693.0,0.0,https://p.scdn.co/mp3-preview/2f8732ab8a42bfa857d0b78c2a5055083e54f33c?cid=511f219d36aa49ae99789b1efd2c51c8,7.0,0.0,0.117,0.622,0.797,0.909,0.16,-8.958,0.0312,0.795,114.822,21.7
7,1966,34udfDpMhPKGji6QeMNjcK,The Souljazz Orchestra,Rising Sun,Agbara,16,301986,False,0.683,0.923,9,-6.454,0,0.0491,0.204,0.834,0.334,0.892,120.004,4,afrobeat,1581,3PN2MpnnwCXrPbFVxd4PM8,9EIhfqzJEnk,301986.0,0.0,https://p.scdn.co/mp3-preview/6106f1f0bb109a93c44344e8d43e15ee04c92225?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,0.0,0.204,0.683,0.923,0.834,0.334,-6.454,0.0491,0.892,120.004,16.0
8,2001,2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,83,299960,False,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alt-rock,22099,7GjVWG39IOj4viyWplJV4H,eQ3Wd60Qddw,299960.0,0.0,https://p.scdn.co/mp3-preview/423ccbab06d9fc084f857fa291eb59c0df13a079?cid=511f219d36aa49ae99789b1efd2c51c8,6.0,1.0,0.0102,0.705,0.712,0.000855,0.1,-6.156,0.0385,0.62,97.512,83.0
9,2002,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,False,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock,23763,0ODLCdHBFVvKwJGeSfd1jy,h4d-M5jbx8Q,206280.0,0.0,https://p.scdn.co/mp3-preview/0446c69be3d5deb4ee925aac67261eeada4eb73b?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,0.0,0.0484,0.575,0.568,0.000417,0.286,-5.509,0.03,0.37,93.986,75.1
